epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,413.58,1.46966,2.99298,1.56301,0.66763,0.69724,0.72289,0.49362,1.32895,1.41035,1.34614,0.00332907,0.00332907,0.00332907
2,593.419,1.26465,1.64808,1.29938,0.78272,0.71374,0.76782,0.53858,1.26836,1.12444,1.27945,0.00653049,0.00653049,0.00653049
3,768.471,1.28827,1.33374,1.29707,0.56746,0.56808,0.57979,0.42451,1.51674,1.83271,1.56964,0.00959991,0.00959991,0.00959991
4,942.762,1.30259,1.22626,1.3052,0.66279,0.6905,0.71737,0.51664,1.43382,1.37494,1.4345,0.009406,0.009406,0.009406
5,1117.13,1.21908,1.0586,1.24843,0.77136,0.76211,0.76149,0.55949,1.40862,1.1357,1.40635,0.009208,0.009208,0.009208
6,1291.38,1.1623,0.96062,1.20849,0.7735,0.79838,0.80947,0.60071,1.33966,0.94592,1.3286,0.00901,0.00901,0.00901
7,1465.66,1.12564,0.89884,1.18387,0.8268,0.78173,0.79365,0.60408,1.4635,0.93169,1.41307,0.008812,0.008812,0.008812
8,1639.99,1.09175,0.84829,1.16011,0.79795,0.79053,0.79332,0.60562,1.49777,0.88527,1.49307,0.008614,0.008614,0.008614
9,1814.22,1.06888,0.80949,1.14778,0.85642,0.81864,0.8414,0.64783,1.26017,0.80148,1.28252,0.008416,0.008416,0.008416
10,1988.97,1.04528,0.77978,1.13526,0.84233,0.82694,0.85268,0.6462,1.23576,0.76209,1.27113,0.008218,0.008218,0.008218
11,2164.08,1.02943,0.75942,1.12102,0.87902,0.82298,0.85769,0.65488,1.24622,0.71688,1.2873,0.00802,0.00802,0.00802
12,2339.08,1.01124,0.73382,1.10879,0.85701,0.84403,0.85992,0.66396,1.23723,0.6829,1.24901,0.007822,0.007822,0.007822
13,2513.44,0.99675,0.70923,1.10125,0.85057,0.82479,0.85194,0.66239,1.27174,0.79809,1.32062,0.007624,0.007624,0.007624
14,2687.63,0.98511,0.69747,1.09277,0.8453,0.82569,0.84678,0.66422,1.28664,0.74919,1.32565,0.007426,0.007426,0.007426
15,2861.97,0.96982,0.67932,1.08461,0.90295,0.87556,0.89456,0.6934,1.20327,0.61479,1.24901,0.007228,0.007228,0.007228
16,3036.12,0.96063,0.66278,1.07844,0.85513,0.84737,0.86408,0.6809,1.24387,0.71243,1.30264,0.00703,0.00703,0.00703
17,3210.54,0.9536,0.64992,1.07637,0.86626,0.84657,0.86204,0.68368,1.29247,0.66993,1.34348,0.006832,0.006832,0.006832
18,3384.95,0.94286,0.641,1.07261,0.84851,0.85768,0.86642,0.68887,1.27206,0.685,1.33137,0.006634,0.006634,0.006634
19,3559.2,0.93144,0.6325,1.06468,0.87817,0.85932,0.88027,0.69512,1.21909,0.63312,1.28666,0.006436,0.006436,0.006436
20,3733.56,0.92757,0.62166,1.06485,0.87696,0.85604,0.87882,0.69841,1.24204,0.64652,1.31289,0.006238,0.006238,0.006238
21,3907.94,0.91377,0.61133,1.05622,0.87708,0.86228,0.87423,0.69368,1.32999,0.61783,1.38752,0.00604,0.00604,0.00604
22,4082.41,0.90484,0.59915,1.05343,0.8697,0.87766,0.87953,0.69557,1.27543,0.5763,1.31721,0.005842,0.005842,0.005842
23,4256.73,0.89657,0.59235,1.04785,0.8879,0.87092,0.88406,0.70711,1.22594,0.57677,1.28603,0.005644,0.005644,0.005644
24,4431.05,0.89461,0.58845,1.04848,0.89251,0.88366,0.89052,0.71038,1.2005,0.57868,1.27657,0.005446,0.005446,0.005446
25,4605.23,0.8844,0.57671,1.04313,0.88709,0.87656,0.89291,0.71343,1.22674,0.57378,1.29128,0.005248,0.005248,0.005248
26,4779.63,0.87899,0.5674,1.04067,0.89436,0.87819,0.89386,0.71746,1.21859,0.56333,1.28406,0.00505,0.00505,0.00505
27,4953.85,0.86781,0.55678,1.03509,0.88207,0.8659,0.88906,0.71542,1.25483,0.57765,1.3223,0.004852,0.004852,0.004852
28,5127.88,0.8644,0.55337,1.03432,0.8882,0.85549,0.88334,0.71317,1.27043,0.5971,1.3478,0.004654,0.004654,0.004654
29,5302.12,0.85454,0.5414,1.02733,0.89405,0.85549,0.88213,0.71455,1.25315,0.57337,1.33178,0.004456,0.004456,0.004456
30,5476.34,0.85199,0.53732,1.02728,0.88167,0.87329,0.88494,0.71597,1.24337,0.58251,1.32248,0.004258,0.004258,0.004258
31,5650.5,0.83753,0.52574,1.02252,0.87945,0.88149,0.88968,0.71879,1.23302,0.57054,1.31682,0.00406,0.00406,0.00406
32,5824.46,0.83295,0.52424,1.01938,0.89214,0.87192,0.88904,0.71632,1.23373,0.56777,1.3227,0.003862,0.003862,0.003862
33,5998.48,0.82599,0.51823,1.01973,0.8947,0.87305,0.8885,0.71921,1.23842,0.56185,1.32679,0.003664,0.003664,0.003664
34,6172.77,0.81953,0.51023,1.01542,0.88331,0.88306,0.8889,0.72043,1.24174,0.56798,1.33374,0.003466,0.003466,0.003466
35,6346.93,0.81431,0.50709,1.01117,0.88252,0.87704,0.88603,0.71992,1.24165,0.57221,1.33676,0.003268,0.003268,0.003268
36,6520.91,0.80665,0.49463,1.00783,0.89187,0.8694,0.88529,0.72053,1.24098,0.56519,1.33539,0.00307,0.00307,0.00307
37,6695.06,0.79802,0.48905,1.00472,0.8845,0.87759,0.88495,0.721,1.23846,0.56261,1.3369,0.002872,0.002872,0.002872
38,6869.29,0.79062,0.48118,1.00159,0.8861,0.8766,0.88429,0.72079,1.23859,0.56216,1.3387,0.002674,0.002674,0.002674
39,7043.28,0.78575,0.47781,0.99979,0.88072,0.88332,0.88537,0.72215,1.23501,0.55783,1.33579,0.002476,0.002476,0.002476
40,7217.78,0.77341,0.47111,0.99624,0.88886,0.87812,0.88554,0.72332,1.23414,0.55086,1.33566,0.002278,0.002278,0.002278
41,7392.91,0.71186,0.31699,0.96002,0.88613,0.87912,0.88471,0.72324,1.23061,0.54819,1.33397,0.00208,0.00208,0.00208
42,7566.06,0.69522,0.30656,0.95316,0.88723,0.88071,0.88658,0.72491,1.22653,0.54486,1.33267,0.001882,0.001882,0.001882
43,7739.25,0.68191,0.30101,0.94913,0.88302,0.88235,0.88684,0.72595,1.22512,0.54394,1.33369,0.001684,0.001684,0.001684
44,7912.42,0.66832,0.29184,0.93943,0.88279,0.88158,0.88611,0.72555,1.22349,0.54439,1.33382,0.001486,0.001486,0.001486
45,8085.02,0.6565,0.2805,0.93568,0.8876,0.87632,0.88639,0.7258,1.22186,0.54542,1.33514,0.001288,0.001288,0.001288
46,8257.79,0.64706,0.27593,0.93231,0.88324,0.87988,0.88574,0.72716,1.22039,0.54554,1.33578,0.00109,0.00109,0.00109
