epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,411.015,0.78982,1.98999,1.2339,0.82368,0.85757,0.89759,0.69389,0.68765,0.781,1.05212,0.00333059,0.00333059,0.00333059
2,690.52,0.6777,0.9931,1.12562,0.81406,0.8087,0.87279,0.71295,0.54753,0.77799,0.94961,0.00653197,0.00653197,0.00653197
3,961.395,0.70303,0.8368,1.13462,0.75677,0.78988,0.80089,0.62645,0.69321,0.99669,1.07565,0.00960136,0.00960136,0.00960136
4,1232.73,0.69426,0.77105,1.13227,0.91367,0.88676,0.92997,0.77279,0.56675,0.52959,0.97488,0.009406,0.009406,0.009406
5,1503.17,0.6467,0.67527,1.10111,0.91592,0.91671,0.94861,0.8196,0.53434,0.43108,0.94912,0.009208,0.009208,0.009208
6,1774.54,0.61458,0.61469,1.08065,0.94722,0.94461,0.96868,0.84896,0.53432,0.37298,0.95586,0.00901,0.00901,0.00901
7,2045.58,0.59367,0.58261,1.06853,0.95459,0.94302,0.97225,0.85657,0.50921,0.34259,0.93521,0.008812,0.008812,0.008812
8,2316.66,0.57529,0.55632,1.05537,0.9587,0.95286,0.97823,0.86815,0.49126,0.3267,0.92161,0.008614,0.008614,0.008614
9,2587.56,0.56507,0.53314,1.05031,0.95435,0.95468,0.97671,0.87192,0.48509,0.3207,0.91148,0.008416,0.008416,0.008416
10,2859.15,0.54866,0.51531,1.04348,0.95728,0.9597,0.97829,0.87637,0.47976,0.31414,0.90988,0.008218,0.008218,0.008218
11,3130,0.54133,0.49992,1.03847,0.96517,0.96142,0.98197,0.88602,0.4692,0.2918,0.90354,0.00802,0.00802,0.00802
12,3401.31,0.5342,0.48931,1.03152,0.96501,0.96659,0.98027,0.88364,0.46511,0.28865,0.89779,0.007822,0.007822,0.007822
13,3671.69,0.52672,0.47732,1.02838,0.96407,0.96519,0.98135,0.89164,0.46081,0.28185,0.89593,0.007624,0.007624,0.007624
14,3942.66,0.52287,0.47042,1.02718,0.96975,0.96082,0.98186,0.8911,0.4532,0.28076,0.88796,0.007426,0.007426,0.007426
15,4213.71,0.51069,0.4574,1.01965,0.96623,0.9688,0.98248,0.89567,0.45038,0.27368,0.89122,0.007228,0.007228,0.007228
16,4484.53,0.50442,0.4519,1.01683,0.96803,0.96487,0.98281,0.89626,0.45083,0.27189,0.8879,0.00703,0.00703,0.00703
17,4754.88,0.49868,0.44101,1.01431,0.96823,0.9678,0.98252,0.89581,0.44803,0.26883,0.88499,0.006832,0.006832,0.006832
18,5025.57,0.49611,0.43891,1.01408,0.97021,0.96621,0.98299,0.90004,0.44535,0.26723,0.88426,0.006634,0.006634,0.006634
19,5296.21,0.49281,0.42776,1.00915,0.9689,0.96967,0.98284,0.89991,0.44217,0.26283,0.87925,0.006436,0.006436,0.006436
20,5566.81,0.4895,0.42437,1.00798,0.96613,0.97121,0.98315,0.90015,0.43913,0.26332,0.87824,0.006238,0.006238,0.006238
21,5837.32,0.48332,0.41753,1.00573,0.96392,0.9723,0.98418,0.90289,0.43763,0.25814,0.87667,0.00604,0.00604,0.00604
22,6108.61,0.47912,0.41268,1.00205,0.97093,0.96552,0.98386,0.90425,0.43626,0.25891,0.87606,0.005842,0.005842,0.005842
23,6379.15,0.47742,0.40618,1.00169,0.97202,0.96658,0.98342,0.90428,0.43535,0.25799,0.87486,0.005644,0.005644,0.005644
24,6650.04,0.471,0.4027,0.99872,0.96919,0.96979,0.98369,0.9045,0.43509,0.25695,0.87416,0.005446,0.005446,0.005446
25,6920.58,0.46797,0.39788,0.99789,0.96987,0.97077,0.9839,0.90467,0.43519,0.25543,0.87382,0.005248,0.005248,0.005248
26,7191.49,0.46589,0.39443,0.99531,0.96983,0.96969,0.98368,0.90523,0.4341,0.25452,0.87329,0.00505,0.00505,0.00505
27,7462.18,inf,0.38991,0.99395,0.9722,0.96706,0.98396,0.90569,0.43307,0.25143,0.87283,0.004852,0.004852,0.004852
28,7733.15,0.45728,0.38494,0.99133,0.97382,0.96632,0.98402,0.90631,0.43184,0.25055,0.87225,0.004654,0.004654,0.004654
29,8003.75,0.45448,0.37758,0.98711,0.97271,0.96654,0.98426,0.90686,0.43042,0.25013,0.87086,0.004456,0.004456,0.004456
30,8274.57,0.44994,0.37599,0.98786,0.9738,0.96647,0.98441,0.90713,0.42985,0.24981,0.87044,0.004258,0.004258,0.004258
31,8545.33,0.44782,0.36875,0.98702,0.97375,0.96791,0.98439,0.90817,0.42905,0.24918,0.86973,0.00406,0.00406,0.00406
32,8816.22,0.44504,0.36858,0.98557,0.97216,0.96856,0.98438,0.90803,0.42839,0.24899,0.86936,0.003862,0.003862,0.003862
33,9086.6,0.44036,0.36049,0.98231,0.97389,0.96748,0.98443,0.90873,0.42744,0.24844,0.86855,0.003664,0.003664,0.003664
34,9357.43,0.43686,0.35521,0.97959,0.97346,0.96789,0.98433,0.9084,0.42661,0.24799,0.86769,0.003466,0.003466,0.003466
35,9628.07,0.43192,0.34947,0.97811,0.97467,0.96736,0.98434,0.90914,0.42621,0.24747,0.86721,0.003268,0.003268,0.003268
36,9898.99,0.428,0.34608,0.97576,0.97368,0.9683,0.98431,0.90942,0.42579,0.24709,0.86674,0.00307,0.00307,0.00307
37,10169.5,0.4238,0.33905,0.97501,0.9744,0.96772,0.9844,0.91031,0.42515,0.24665,0.86628,0.002872,0.002872,0.002872
38,10440.4,0.42114,0.33614,0.973,0.97319,0.96889,0.98443,0.91061,0.42474,0.24571,0.86596,0.002674,0.002674,0.002674
39,10711,0.41752,0.32977,0.97002,0.97196,0.9699,0.98456,0.91048,0.42445,0.24501,0.86573,0.002476,0.002476,0.002476
40,10981.9,0.41371,0.32762,0.96843,0.97019,0.97175,0.98457,0.91144,0.42379,0.24448,0.86515,0.002278,0.002278,0.002278
41,11252.1,0.40763,0.21817,0.97502,0.9714,0.97139,0.98459,0.91149,0.42294,0.24308,0.86445,0.00208,0.00208,0.00208
