epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,598.929,1.35473,2.70461,1.33202,0.5754,0.81463,0.76143,0.53021,1.00108,1.37931,1.10372,0.00332642,0.00332642,0.00332642
2,686.099,1.12588,1.44459,1.14379,0.82738,0.86625,0.91605,0.72467,0.76271,0.70577,0.98294,0.00652789,0.00652789,0.00652789
3,771.268,1.12711,1.15517,1.146,0.78804,0.81141,0.89452,0.65647,0.86273,0.93167,1.03965,0.00959736,0.00959736,0.00959736
4,856.492,1.13202,1.04187,1.15131,0.88515,0.8852,0.9484,0.74149,0.80499,0.57218,0.99183,0.009406,0.009406,0.009406
5,941.451,1.04672,0.89593,1.10883,0.94986,0.92668,0.9667,0.7681,0.79388,0.4964,0.98651,0.009208,0.009208,0.009208
6,1026.54,0.99834,0.81972,1.08583,0.94683,0.93953,0.97681,0.78157,0.77194,0.43789,0.9904,0.00901,0.00901,0.00901
7,1110.92,0.95673,0.7622,1.06824,0.91644,0.91265,0.94125,0.7355,0.83832,0.48596,1.01996,0.008812,0.008812,0.008812
8,1196.09,0.92194,0.72079,1.05497,0.95841,0.94327,0.96877,0.81171,0.65457,0.40099,0.93558,0.008614,0.008614,0.008614
9,1281.26,0.90152,0.69516,1.04812,0.95548,0.94158,0.97839,0.80699,0.71288,0.39568,0.96219,0.008416,0.008416,0.008416
10,1366.1,0.87945,0.66826,1.03869,0.94525,0.94376,0.97807,0.83128,0.63551,0.38178,0.92448,0.008218,0.008218,0.008218
11,1451.04,0.86114,0.64674,1.03256,0.96556,0.9602,0.98711,0.84033,0.65528,0.34113,0.92641,0.00802,0.00802,0.00802
12,1535.98,0.84365,0.62526,1.0209,0.95249,0.96163,0.98198,0.84208,0.59778,0.3437,0.91461,0.007822,0.007822,0.007822
13,1620.9,0.82361,0.6073,1.01548,0.96263,0.9587,0.98103,0.84912,0.61014,0.33881,0.91814,0.007624,0.007624,0.007624
14,1706.04,0.81837,0.59387,1.01123,0.96087,0.9653,0.98605,0.85742,0.58473,0.3178,0.90763,0.007426,0.007426,0.007426
15,1791.03,0.80585,0.58634,1.00876,0.96712,0.97014,0.98855,0.86352,0.56264,0.29813,0.90547,0.007228,0.007228,0.007228
16,1875.94,0.79447,0.57548,1.00344,0.962,0.95664,0.98461,0.86478,0.5598,0.31605,0.89651,0.00703,0.00703,0.00703
17,1961.15,0.78536,0.56611,1.00109,0.97642,0.95585,0.98603,0.86369,0.563,0.30812,0.8984,0.006832,0.006832,0.006832
18,2046.07,0.77231,0.55224,0.99613,0.96805,0.95691,0.98369,0.86802,0.55451,0.29589,0.89822,0.006634,0.006634,0.006634
19,2130.69,0.76282,0.53637,0.99141,0.97267,0.96744,0.9877,0.87399,0.54812,0.28583,0.89396,0.006436,0.006436,0.006436
20,2215.68,0.76117,0.53908,0.99131,0.96555,0.97364,0.98901,0.87646,0.54561,0.27753,0.89731,0.006238,0.006238,0.006238
21,2300.22,0.74873,0.52365,0.98561,0.96635,0.97027,0.98747,0.8766,0.54632,0.28131,0.89474,0.00604,0.00604,0.00604
22,2385.7,0.74341,0.52172,0.98679,0.96984,0.96589,0.98367,0.87896,0.53364,0.29307,0.89069,0.005842,0.005842,0.005842
23,2470.27,0.73522,0.51157,0.9831,0.97717,0.96871,0.98925,0.88324,0.52164,0.26441,0.8866,0.005644,0.005644,0.005644
24,2554.87,0.72304,0.50325,0.9797,0.9672,0.96912,0.98878,0.88397,0.52564,0.26682,0.88762,0.005446,0.005446,0.005446
25,2639.63,0.72058,0.49718,0.9781,0.96646,0.97755,0.98756,0.88407,0.52282,0.26473,0.88277,0.005248,0.005248,0.005248
26,2724.4,0.71308,0.48962,0.97596,0.96446,0.97536,0.98866,0.89135,0.51967,0.26867,0.88405,0.00505,0.00505,0.00505
27,2809.47,0.70665,0.48662,0.97385,0.97623,0.97041,0.98709,0.89306,0.51785,0.2587,0.88286,0.004852,0.004852,0.004852
28,2894.24,0.69997,0.47618,0.97192,0.97375,0.97456,0.98929,0.89681,0.50793,0.24675,0.88142,0.004654,0.004654,0.004654
29,2978.9,0.69555,0.47217,0.97061,0.97186,0.97004,0.98763,0.89636,0.49907,0.2522,0.87569,0.004456,0.004456,0.004456
30,3063.9,0.68235,0.46472,0.9634,0.97672,0.97289,0.98989,0.90103,0.49988,0.24636,0.87781,0.004258,0.004258,0.004258
31,3148.84,0.6816,0.462,0.96461,0.98025,0.97129,0.99097,0.90215,0.50193,0.24252,0.87923,0.00406,0.00406,0.00406
32,3233.55,0.67397,0.45636,0.9626,0.97957,0.97157,0.99098,0.90358,0.49658,0.24253,0.87769,0.003862,0.003862,0.003862
33,3318.35,0.66782,0.44805,0.9581,0.97529,0.97485,0.99018,0.90242,0.49533,0.23894,0.87638,0.003664,0.003664,0.003664
34,3402.88,0.66042,0.44452,0.95753,0.97713,0.9768,0.99031,0.90437,0.49518,0.24165,0.8752,0.003466,0.003466,0.003466
35,3487.79,0.65796,0.43971,0.95562,0.98375,0.96913,0.98994,0.90299,0.49065,0.23882,0.87316,0.003268,0.003268,0.003268
36,3572.22,0.6536,0.43676,0.9572,0.97616,0.97217,0.99088,0.90803,0.48369,0.24081,0.87275,0.00307,0.00307,0.00307
37,3657.26,0.64804,0.43013,0.95326,0.98381,0.97489,0.99102,0.91119,0.48152,0.22723,0.87083,0.002872,0.002872,0.002872
38,3741.72,0.63952,0.42358,0.95234,0.97651,0.97199,0.99139,0.91017,0.48166,0.23104,0.87018,0.002674,0.002674,0.002674
39,3826.52,0.63291,0.41782,0.94752,0.97444,0.97679,0.9911,0.91037,0.47655,0.2278,0.86954,0.002476,0.002476,0.002476
40,3910.95,0.62414,0.40874,0.94663,0.98002,0.97218,0.99114,0.91001,0.47706,0.22785,0.86915,0.002278,0.002278,0.002278
41,3996.28,0.53067,0.26063,0.90606,0.97271,0.97455,0.99149,0.91349,0.47861,0.23109,0.87054,0.00208,0.00208,0.00208
42,4078.09,0.51965,0.24976,0.89884,0.96866,0.97982,0.99162,0.91439,0.47477,0.23061,0.86909,0.001882,0.001882,0.001882
43,4159.9,0.51012,0.24718,0.89476,0.97727,0.97365,0.98991,0.91531,0.47394,0.23527,0.86796,0.001684,0.001684,0.001684
44,4242.4,0.50215,0.2402,0.88854,0.97611,0.9743,0.99032,0.9154,0.47157,0.23588,0.86733,0.001486,0.001486,0.001486
45,4324.13,0.49382,0.23514,0.88677,0.97325,0.97868,0.99088,0.91711,0.46704,0.23057,0.86562,0.001288,0.001288,0.001288
46,4406.08,0.48524,0.22742,0.88501,0.9785,0.97487,0.99128,0.91728,0.46573,0.22606,0.86477,0.00109,0.00109,0.00109
47,4487.56,0.47725,0.21947,0.87822,0.97735,0.97631,0.99098,0.91754,0.46268,0.22246,0.86403,0.000892,0.000892,0.000892
48,4569.44,0.47198,0.21406,0.87756,0.97691,0.97748,0.99079,0.91752,0.46136,0.22286,0.86362,0.000694,0.000694,0.000694
49,4651.08,0.46422,0.20797,0.87608,0.97697,0.97854,0.99056,0.91824,0.45971,0.22424,0.86312,0.000496,0.000496,0.000496
50,4732.77,0.45748,0.20358,0.8731,0.9772,0.97838,0.99071,0.91847,0.45951,0.2242,0.86305,0.000298,0.000298,0.000298
