epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.861,0.53594,1.80415,1.07973,0.76408,0.76047,0.82255,0.64947,0.62292,0.87185,0.99506,0.00332988,0.00332988,0.00332988
2,727.931,0.47192,0.88747,1.01325,0.90309,0.8838,0.94263,0.80296,0.52758,0.49264,0.90503,0.00653128,0.00653128,0.00653128
3,1091.22,0.49451,0.75122,1.02209,0.77133,0.73909,0.77538,0.63635,0.5941,0.82531,0.98252,0.00960069,0.00960069,0.00960069
4,1454.01,0.49447,0.68993,1.02339,0.77886,0.77927,0.83521,0.68132,0.58027,0.68356,0.94612,0.009406,0.009406,0.009406
5,1829.72,0.45571,0.6097,1.00533,0.92128,0.90793,0.95237,0.81738,0.52799,0.43061,0.92188,0.009208,0.009208,0.009208
6,2056.32,0.43255,0.55273,0.99213,0.9201,0.91244,0.94546,0.82221,0.49698,0.40698,0.8946,0.00901,0.00901,0.00901
7,2285.81,0.41615,0.51426,0.98392,0.94039,0.93955,0.96584,0.86506,0.47608,0.35807,0.8711,0.008812,0.008812,0.008812
8,2517.82,0.40467,0.4931,0.98007,0.94418,0.95206,0.97277,0.86989,0.46803,0.3539,0.87548,0.008614,0.008614,0.008614
9,2751.38,0.39691,0.4761,0.97515,0.93746,0.93966,0.96348,0.86582,0.43256,0.31945,0.83182,0.008416,0.008416,0.008416
10,2980.07,0.39101,0.45414,0.9719,0.95717,0.95603,0.97631,0.88089,0.44517,0.32171,0.85101,0.008218,0.008218,0.008218
11,3209.22,0.38238,0.44022,0.96791,0.95303,0.95691,0.97798,0.88571,0.43229,0.31308,0.83715,0.00802,0.00802,0.00802
12,3441.48,0.3749,0.42899,0.96622,0.95137,0.95442,0.9727,0.88555,0.43447,0.31899,0.8416,0.007822,0.007822,0.007822
13,3671.76,0.3724,0.42172,0.96485,0.95967,0.96351,0.97885,0.89127,0.43536,0.31187,0.8409,0.007624,0.007624,0.007624
