epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.167,0.64778,1.95285,1.13932,0.83778,0.82374,0.87883,0.70512,0.59526,0.82231,0.98741,0.00332976,0.00332976,0.00332976
2,358.702,0.56745,1.00699,1.05754,0.66931,0.69796,0.72629,0.57084,0.64031,0.95846,1.02442,0.00653116,0.00653116,0.00653116
3,525.579,0.59166,0.84276,1.06627,0.7859,0.787,0.84861,0.65693,0.67355,0.79277,1.07881,0.00960057,0.00960057,0.00960057
4,692.474,0.59029,0.76162,1.06623,0.88217,0.87863,0.92379,0.7337,0.57809,0.51177,0.98794,0.009406,0.009406,0.009406
5,859.041,0.54742,0.67236,1.04342,0.91146,0.90267,0.93948,0.7685,0.5555,0.49915,0.9685,0.009208,0.009208,0.009208
6,1025.01,0.52179,0.61305,1.03019,0.9422,0.92851,0.96966,0.82536,0.54076,0.4032,0.94521,0.00901,0.00901,0.00901
7,1190.81,0.50035,0.56928,1.0184,0.95854,0.94188,0.97332,0.85194,0.52733,0.35699,0.95424,0.008812,0.008812,0.008812
8,1356.53,0.48982,0.54352,1.01262,0.96642,0.94688,0.97894,0.85129,0.50899,0.3333,0.92873,0.008614,0.008614,0.008614
9,1522.39,0.47968,0.52728,1.00473,0.95688,0.94935,0.96978,0.86064,0.48747,0.33741,0.91677,0.008416,0.008416,0.008416
10,1687.77,0.466,0.50421,0.99858,0.96145,0.94973,0.97906,0.87369,0.48508,0.31562,0.92584,0.008218,0.008218,0.008218
11,1852.72,0.4619,0.49384,0.99624,0.96112,0.95414,0.97474,0.86999,0.47813,0.30465,0.91223,0.00802,0.00802,0.00802
12,2017.91,0.45219,0.47602,0.99278,0.96107,0.95652,0.97902,0.87539,0.4717,0.30617,0.90134,0.007822,0.007822,0.007822
13,2183.13,0.44912,0.46934,0.98968,0.96559,0.96058,0.98172,0.88352,0.46587,0.28565,0.89516,0.007624,0.007624,0.007624
14,2348.64,0.44118,0.4562,0.98432,0.9646,0.96277,0.98466,0.88815,0.45865,0.27986,0.8961,0.007426,0.007426,0.007426
15,2513.76,0.43927,0.44644,0.98345,0.96254,0.96668,0.98246,0.88865,0.45344,0.28075,0.88967,0.007228,0.007228,0.007228
16,2679.5,0.43313,0.43759,0.97972,0.96386,0.95965,0.98391,0.89074,0.45217,0.28211,0.89258,0.00703,0.00703,0.00703
17,2844.86,0.42687,0.43295,0.97637,0.96584,0.966,0.9841,0.88927,0.44869,0.27054,0.89025,0.006832,0.006832,0.006832
18,3010.29,0.42236,0.42602,0.9746,0.97192,0.96063,0.98433,0.89512,0.44515,0.26666,0.88404,0.006634,0.006634,0.006634
19,1115.52,0.4179,0.41391,0.97338,0.96041,0.97277,0.98538,0.89743,0.44156,0.26049,0.87734,0.006436,0.006436,0.006436
20,1330.31,0.4151,0.41106,0.97177,0.96686,0.96953,0.98527,0.89916,0.43214,0.26135,0.87058,0.006238,0.006238,0.006238
21,1543.41,0.41255,0.40707,0.97099,0.97193,0.96677,0.98576,0.90124,0.43449,0.25992,0.87388,0.00604,0.00604,0.00604
22,1756.9,0.40653,0.39816,0.96713,0.97176,0.9622,0.9854,0.90181,0.43099,0.25778,0.87272,0.005842,0.005842,0.005842
23,1969.92,0.40417,0.39398,0.96537,0.97143,0.96624,0.98569,0.905,0.43324,0.2545,0.87749,0.005644,0.005644,0.005644
24,2182.15,0.40215,0.38947,0.9668,0.97491,0.96798,0.98594,0.90537,0.42972,0.25016,0.8729,0.005446,0.005446,0.005446
25,2395.08,0.39686,0.38328,0.96163,0.97535,0.96718,0.98581,0.90643,0.4255,0.24953,0.86753,0.005248,0.005248,0.005248
26,2607.27,0.39427,0.37432,0.96011,0.96858,0.97154,0.98623,0.90917,0.42395,0.24964,0.86392,0.00505,0.00505,0.00505
27,2819.84,0.39204,0.37259,0.9562,0.97642,0.96453,0.98612,0.9087,0.42434,0.24666,0.86367,0.004852,0.004852,0.004852
28,3032.51,0.38474,0.36376,0.95519,0.97462,0.96383,0.98626,0.90961,0.42341,0.24537,0.86375,0.004654,0.004654,0.004654
29,3245.51,0.386,0.36451,0.95545,0.97223,0.96918,0.9854,0.90874,0.42239,0.2447,0.86323,0.004456,0.004456,0.004456
30,3457.64,0.38034,0.35392,0.95436,0.97257,0.96883,0.98558,0.91059,0.42178,0.2424,0.86347,0.004258,0.004258,0.004258
31,3670.17,0.38085,0.35367,0.95197,0.96939,0.97273,0.98589,0.91123,0.4193,0.24251,0.86013,0.00406,0.00406,0.00406
32,3882.9,0.37379,0.34599,0.95016,0.96854,0.97517,0.98609,0.91286,0.41777,0.24227,0.85914,0.003862,0.003862,0.003862
33,4095.46,0.37556,0.33984,0.95175,0.96863,0.97512,0.98615,0.91339,0.41687,0.24256,0.85912,0.003664,0.003664,0.003664
34,4307.69,0.36942,0.33303,0.94652,0.96785,0.97439,0.98619,0.91374,0.41565,0.24198,0.85842,0.003466,0.003466,0.003466
35,4520.26,0.36588,0.33236,0.94588,0.96882,0.97393,0.98606,0.91419,0.41554,0.24155,0.8586,0.003268,0.003268,0.003268
36,4732.65,0.36086,0.32938,0.94447,0.96972,0.97192,0.98603,0.91383,0.4148,0.24214,0.85784,0.00307,0.00307,0.00307
37,4944.97,inf,0.32581,0.94389,0.96951,0.97358,0.98622,0.91469,0.41437,0.24077,0.85776,0.002872,0.002872,0.002872
38,5156.93,0.35841,0.32491,0.94641,0.96942,0.97383,0.98627,0.91518,0.41399,0.24026,0.85767,0.002674,0.002674,0.002674
39,5369.24,0.35354,0.31353,0.94077,0.96897,0.97356,0.98614,0.9155,0.41332,0.23946,0.85704,0.002476,0.002476,0.002476
40,5581.72,0.3482,0.31237,0.9378,0.96973,0.97327,0.98614,0.91569,0.41274,0.23861,0.85658,0.002278,0.002278,0.002278
41,5794.5,0.36569,0.20811,0.94435,0.9699,0.97275,0.98628,0.91637,0.41211,0.23767,0.85619,0.00208,0.00208,0.00208
42,6005.17,0.35801,0.19848,0.93908,0.96952,0.97311,0.9863,0.91653,0.41154,0.23719,0.85576,0.001882,0.001882,0.001882
43,6215.98,0.35118,0.19424,0.93553,0.97176,0.96921,0.98625,0.91668,0.41078,0.23696,0.85494,0.001684,0.001684,0.001684
44,6426.8,0.3452,0.18888,0.9326,0.97072,0.97148,0.98631,0.91714,0.41048,0.23631,0.85459,0.001486,0.001486,0.001486
45,6637.27,0.33934,0.18158,0.92913,0.97061,0.97089,0.98638,0.91763,0.4098,0.23647,0.85391,0.001288,0.001288,0.001288
46,6847.88,0.33355,0.17677,0.92415,0.97401,0.96777,0.98632,0.91813,0.4092,0.2365,0.85338,0.00109,0.00109,0.00109
47,7058.75,0.32745,0.17184,0.91957,0.97426,0.96792,0.98624,0.9187,0.4087,0.23655,0.85314,0.000892,0.000892,0.000892
48,7269.21,0.32248,0.16487,0.91529,0.97368,0.96826,0.9862,0.9188,0.40822,0.23622,0.85267,0.000694,0.000694,0.000694
49,7479.96,inf,0.15961,0.91126,0.97038,0.97206,0.98627,0.91937,0.40769,0.23629,0.85213,0.000496,0.000496,0.000496
50,7690.29,0.3111,0.15456,0.90759,0.97038,0.9723,0.9864,0.91948,0.40711,0.23606,0.85153,0.000298,0.000298,0.000298
