epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,509.035,0.80409,2.12078,1.2288,0.69699,0.69355,0.69942,0.50762,0.85613,0.98841,1.12719,0.00333041,0.00333041,0.00333041
2,995.79,0.72572,1.12795,1.11504,0.7074,0.69006,0.70957,0.54128,0.83602,0.93503,1.09513,0.0065318,0.0065318,0.0065318
3,1926.25,0.75212,0.95399,1.11755,0.54881,0.41025,0.42913,0.29002,1.38671,2.50178,1.51722,0.00960119,0.00960119,0.00960119
4,2814.14,0.74751,0.88188,1.11964,0.7257,0.72238,0.74087,0.58171,0.82262,0.71505,1.04962,0.009406,0.009406,0.009406
5,3468.98,0.70638,0.77775,1.09112,0.72484,0.76044,0.77789,0.61104,0.776,0.66724,1.00617,0.009208,0.009208,0.009208
6,4084.12,0.6742,0.70784,1.07136,0.762,0.78992,0.78871,0.62938,0.78317,0.62101,1.02738,0.00901,0.00901,0.00901
7,4716.84,0.65097,0.67303,1.05684,0.78129,0.77044,0.79793,0.63384,0.76462,0.64427,1.00423,0.008812,0.008812,0.008812
8,5340.22,0.63892,0.6345,1.04763,0.81011,0.78959,0.80118,0.64916,0.72936,0.57008,0.9826,0.008614,0.008614,0.008614
9,5949,0.62569,0.61292,1.03918,0.8176,0.80936,0.82272,0.66885,0.72249,0.53623,0.9749,0.008416,0.008416,0.008416
10,6571.42,0.61293,0.5949,1.03203,0.81825,0.8088,0.81172,0.66022,0.73994,0.52148,0.99551,0.008218,0.008218,0.008218
11,7175.75,0.60474,0.57204,1.02913,0.82841,0.82637,0.83922,0.68602,0.7312,0.4795,0.98989,0.00802,0.00802,0.00802
12,7783.12,0.59786,0.56008,1.0207,0.83097,0.83242,0.84426,0.68656,0.70386,0.4814,0.97897,0.007822,0.007822,0.007822
13,8395.44,0.58843,0.54492,1.01797,0.83204,0.82857,0.84859,0.69181,0.69898,0.46285,0.96594,0.007624,0.007624,0.007624
14,9006.12,0.58524,0.53497,1.01458,0.85772,0.83816,0.86094,0.70221,0.69489,0.44039,0.967,0.007426,0.007426,0.007426
15,9621.19,0.57602,0.52371,1.01174,0.84491,0.84614,0.86696,0.70244,0.70137,0.4397,0.97301,0.007228,0.007228,0.007228
16,10229.8,0.57267,0.51896,1.00599,0.85978,0.8452,0.86951,0.70477,0.6964,0.43748,0.97568,0.00703,0.00703,0.00703
17,10846.6,0.56656,0.50601,1.00343,0.86291,0.83342,0.85944,0.69921,0.71585,0.42943,0.98247,0.006832,0.006832,0.006832
18,11466.8,0.56378,0.49773,0.99991,0.86824,0.8465,0.87303,0.71297,0.69685,0.42681,0.9701,0.006634,0.006634,0.006634
19,12078.1,0.55506,0.48794,0.99478,0.86898,0.85057,0.87311,0.71312,0.70055,0.40644,0.96276,0.006436,0.006436,0.006436
20,12687.5,0.55159,0.4809,0.99428,0.86563,0.85266,0.8698,0.7125,0.6993,0.41112,0.96378,0.006238,0.006238,0.006238
21,13277.2,0.55429,0.47459,0.99722,0.8713,0.85206,0.8756,0.71753,0.69689,0.40215,0.96826,0.00604,0.00604,0.00604
22,13873,0.54956,0.47126,0.99366,0.87521,0.85651,0.88273,0.72317,0.69017,0.39603,0.96392,0.005842,0.005842,0.005842
23,14475.5,0.54218,0.45947,0.98843,0.86775,0.86227,0.88098,0.72387,0.69152,0.39162,0.96677,0.005644,0.005644,0.005644
24,15102.9,0.54185,0.45499,0.98685,0.87849,0.85613,0.87931,0.72439,0.69026,0.39081,0.96481,0.005446,0.005446,0.005446
25,15696.6,0.5377,0.44874,0.98828,0.88215,0.85031,0.88088,0.72532,0.69115,0.38763,0.96704,0.005248,0.005248,0.005248
26,16288.7,0.53335,0.44339,0.98465,0.89377,0.84875,0.88299,0.72631,0.69072,0.38774,0.9712,0.00505,0.00505,0.00505
27,16875.6,0.52827,0.43758,0.98157,0.89074,0.85003,0.88442,0.72753,0.68724,0.38655,0.9701,0.004852,0.004852,0.004852
28,17469.8,0.52832,0.43447,0.98232,0.88881,0.85287,0.88538,0.72777,0.68714,0.38447,0.97107,0.004654,0.004654,0.004654
29,18059,0.52189,0.42541,0.97855,0.88826,0.85479,0.88597,0.72816,0.68534,0.38277,0.97034,0.004456,0.004456,0.004456
30,18649.2,0.51661,0.41705,0.97696,0.88745,0.85537,0.88711,0.7289,0.68447,0.38108,0.97005,0.004258,0.004258,0.004258
31,19252.2,0.51436,0.41397,0.97758,0.8842,0.85767,0.88831,0.72904,0.68277,0.37939,0.97013,0.00406,0.00406,0.00406
32,19831.3,0.50924,0.40962,0.97235,0.88366,0.85974,0.889,0.72983,0.68101,0.37802,0.96873,0.003862,0.003862,0.003862
33,20433.7,0.50485,0.40539,0.97069,0.87922,0.86216,0.88914,0.73036,0.68137,0.37728,0.96835,0.003664,0.003664,0.003664
34,21061.8,0.50046,0.39944,0.96803,0.88722,0.85721,0.88895,0.73043,0.68117,0.37693,0.96803,0.003466,0.003466,0.003466
35,21673.6,inf,0.39378,0.96732,0.88979,0.85688,0.89002,0.73143,0.68116,0.37673,0.96744,0.003268,0.003268,0.003268
36,22325.6,0.4978,0.38833,0.96463,0.88569,0.86064,0.89131,0.73231,0.68104,0.3755,0.96746,0.00307,0.00307,0.00307
37,23012.2,0.49178,0.38379,0.96295,0.88974,0.8574,0.89146,0.73275,0.68012,0.37546,0.96681,0.002872,0.002872,0.002872
38,23616.4,0.49086,0.37922,0.96281,0.88077,0.86707,0.89271,0.73335,0.67972,0.37565,0.96722,0.002674,0.002674,0.002674
39,24250.1,0.48402,0.37279,0.95934,0.88449,0.8667,0.89259,0.73429,0.68004,0.3755,0.96781,0.002476,0.002476,0.002476
40,24879.1,0.47844,0.36564,0.95533,0.88066,0.86601,0.89054,0.73484,0.67975,0.37539,0.96742,0.002278,0.002278,0.002278
41,25556.3,0.53822,0.26781,0.94584,0.88238,0.86931,0.89314,0.73475,0.67846,0.37419,0.96614,0.00208,0.00208,0.00208
42,26212.8,0.52597,0.25743,0.93524,0.88279,0.86553,0.89291,0.73607,0.67733,0.37359,0.96515,0.001882,0.001882,0.001882
43,26799.6,0.51479,0.25037,0.93343,0.88012,0.87175,0.89475,0.73746,0.67597,0.37269,0.96373,0.001684,0.001684,0.001684
44,27523.7,0.50323,0.24187,0.93234,0.8819,0.87237,0.89521,0.73787,0.67505,0.37225,0.96331,0.001486,0.001486,0.001486
45,28471.7,0.49556,0.23418,0.92512,0.88212,0.87233,0.89477,0.73812,0.67417,0.37181,0.96306,0.001288,0.001288,0.001288
46,29087,0.48562,0.22525,0.92039,0.88204,0.87217,0.89458,0.7384,0.67219,0.37154,0.96168,0.00109,0.00109,0.00109
47,29704.6,0.47849,0.22009,0.91642,0.88206,0.87449,0.89556,0.73918,0.67084,0.37128,0.96104,0.000892,0.000892,0.000892
48,30312.6,0.46813,0.21386,0.90871,0.87879,0.88015,0.89634,0.74004,0.67011,0.3705,0.9604,0.000694,0.000694,0.000694
