epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,506.958,1.13704,2.46557,1.4462,0.87259,0.87692,0.93273,0.72099,0.73733,0.83903,1.20593,0.00332996,0.00332996,0.00332996
2,732.845,0.97701,1.28751,1.30738,0.88311,0.87987,0.93559,0.75099,0.71561,0.70457,1.18,0.00653136,0.00653136,0.00653136
3,952.268,0.98849,1.05201,1.31493,0.807,0.80325,0.86951,0.63601,0.81877,0.93714,1.31517,0.00960076,0.00960076,0.00960076
4,1171.07,0.99853,0.97374,1.32736,0.91672,0.90085,0.93843,0.73829,0.71837,0.54664,1.20412,0.009406,0.009406,0.009406
5,1389.92,0.92032,0.83555,1.27303,0.94,0.92074,0.96258,0.7894,0.66964,0.46276,1.16284,0.009208,0.009208,0.009208
6,1609.4,0.8703,0.75346,1.2367,0.95182,0.95196,0.97527,0.82219,0.62093,0.38735,1.11802,0.00901,0.00901,0.00901
7,1828.26,0.83628,0.70259,1.21218,0.95175,0.93597,0.97668,0.82596,0.61695,0.38209,1.11321,0.008812,0.008812,0.008812
8,2047.41,0.81278,0.67178,1.19848,0.96271,0.95702,0.98151,0.83804,0.57539,0.34024,1.0834,0.008614,0.008614,0.008614
9,2266.31,0.79451,0.64426,1.1872,0.97857,0.94618,0.98016,0.84626,0.56784,0.3234,1.07701,0.008416,0.008416,0.008416
10,2485.56,0.77526,0.61847,1.1702,0.95953,0.95426,0.97987,0.85329,0.56193,0.332,1.07053,0.008218,0.008218,0.008218
11,2704.61,0.75544,0.59898,1.16091,0.97049,0.95759,0.97967,0.85675,0.53943,0.30841,1.05615,0.00802,0.00802,0.00802
12,2923.66,0.74511,0.58382,1.15338,0.96919,0.96988,0.98486,0.86441,0.53021,0.28904,1.0354,0.007822,0.007822,0.007822
13,3142.59,0.73477,0.56952,1.14751,0.96944,0.96782,0.98328,0.86915,0.51874,0.28465,1.03193,0.007624,0.007624,0.007624
14,3361.25,0.72647,0.55696,1.14214,0.97151,0.96967,0.98632,0.87258,0.51366,0.27339,1.0307,0.007426,0.007426,0.007426
15,3579.79,0.71275,0.54546,1.13305,0.9711,0.96779,0.98559,0.87566,0.51031,0.27446,1.0229,0.007228,0.007228,0.007228
16,3799.02,0.7064,0.53726,1.12862,0.97513,0.97009,0.98852,0.87973,0.50602,0.26118,1.02197,0.00703,0.00703,0.00703
17,4017.64,0.69732,0.5257,1.12337,0.9654,0.97212,0.98602,0.88271,0.50071,0.26585,1.01768,0.006832,0.006832,0.006832
18,4236.92,0.68995,0.51686,1.1175,0.97396,0.96896,0.98618,0.88439,0.493,0.25939,1.01451,0.006634,0.006634,0.006634
19,4455.77,0.68607,0.51142,1.11574,0.97431,0.9706,0.9885,0.88695,0.49071,0.25412,1.01028,0.006436,0.006436,0.006436
20,4674.74,0.67518,0.50024,1.11021,0.97961,0.96878,0.98837,0.88701,0.48959,0.25085,1.01072,0.006238,0.006238,0.006238
21,4893.59,0.67208,0.50052,1.10556,0.97155,0.97194,0.98813,0.88724,0.493,0.2506,1.01199,0.00604,0.00604,0.00604
22,5112.53,0.66221,0.49322,1.10343,0.97104,0.97633,0.98891,0.89052,0.48749,0.24484,1.00815,0.005842,0.005842,0.005842
23,5331.08,0.65502,0.48597,1.09829,0.97328,0.9733,0.98938,0.89094,0.48186,0.24209,1.00475,0.005644,0.005644,0.005644
24,5550.09,0.65118,0.47528,1.09309,0.97468,0.97587,0.98998,0.89259,0.47853,0.24008,1.00208,0.005446,0.005446,0.005446
25,5768.86,0.64389,0.46959,1.09073,0.97923,0.97463,0.98892,0.89324,0.47613,0.23898,0.99975,0.005248,0.005248,0.005248
26,5988.33,0.64264,0.46291,1.08774,0.97804,0.97813,0.98935,0.89486,0.47563,0.23646,0.99987,0.00505,0.00505,0.00505
27,6207.35,0.63535,0.4573,1.08429,0.97521,0.98031,0.98877,0.89435,0.47413,0.23514,0.99901,0.004852,0.004852,0.004852
28,6426.35,0.63038,0.45379,1.0812,0.9706,0.98333,0.9893,0.89451,0.47347,0.23483,0.99818,0.004654,0.004654,0.004654
29,6645.03,0.62394,0.45102,1.07922,0.96804,0.98126,0.98758,0.89634,0.47241,0.23506,0.99816,0.004456,0.004456,0.004456
30,6863.88,0.62067,0.44149,1.07579,0.97369,0.97795,0.98889,0.89657,0.47115,0.23373,0.99669,0.004258,0.004258,0.004258
31,7082.66,0.61423,0.44017,1.07293,0.97289,0.98295,0.99008,0.89673,0.47037,0.23232,0.99597,0.00406,0.00406,0.00406
32,7301.86,0.60634,0.43023,1.06868,0.97541,0.98197,0.99042,0.89821,0.47005,0.23186,0.99546,0.003862,0.003862,0.003862
33,7520.47,0.60408,0.42569,1.06473,0.97555,0.98284,0.99055,0.89911,0.46903,0.23055,0.99455,0.003664,0.003664,0.003664
34,7739.34,0.59872,0.42002,1.06255,0.97693,0.97954,0.99053,0.89987,0.46811,0.22996,0.99397,0.003466,0.003466,0.003466
35,7958.08,0.59222,0.41741,1.05942,0.97831,0.98002,0.99044,0.90017,0.46705,0.22866,0.99316,0.003268,0.003268,0.003268
36,8177.02,0.58879,0.41144,1.05891,0.97848,0.98015,0.99032,0.90011,0.46577,0.22804,0.9918,0.00307,0.00307,0.00307
37,8395.87,0.581,0.40837,1.05495,0.97737,0.9796,0.99015,0.90035,0.46483,0.22804,0.99121,0.002872,0.002872,0.002872
38,8614.93,0.57519,0.40135,1.05113,0.97769,0.97885,0.99021,0.90017,0.46416,0.22787,0.99062,0.002674,0.002674,0.002674
39,8833.88,0.57351,0.39835,1.05156,0.97825,0.97886,0.99012,0.90041,0.46349,0.2274,0.99021,0.002476,0.002476,0.002476
40,9052.95,0.56646,0.3909,1.0459,0.97796,0.97877,0.99016,0.90059,0.46262,0.22641,0.98955,0.002278,0.002278,0.002278
41,9271.98,0.51678,0.25991,1.06512,0.97984,0.9782,0.99012,0.90098,0.4621,0.22609,0.98923,0.00208,0.00208,0.00208
42,9489.59,0.50273,0.24819,1.05234,0.97955,0.978,0.99019,0.90134,0.46118,0.22566,0.98846,0.001882,0.001882,0.001882
43,9706.82,0.48986,0.24292,1.04263,0.97958,0.97824,0.99024,0.90202,0.46022,0.22548,0.9877,0.001684,0.001684,0.001684
44,9924.23,0.4834,0.23756,1.03723,0.98011,0.97828,0.99021,0.90207,0.45935,0.22453,0.98694,0.001486,0.001486,0.001486
45,10141.2,0.47204,0.22984,1.02644,0.98022,0.98082,0.9903,0.90252,0.45831,0.22289,0.98605,0.001288,0.001288,0.001288
