epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.6195,1.84625,2.80176,1.72762,0.2065,0.24526,0.13111,0.04209,2.33556,3.06295,2.20677,0.000553814,0.000553814,0.000553814
2,150.291,1.76798,1.76956,1.66271,0.43373,0.38623,0.34046,0.12522,2.27447,2.01009,2.05705,0.00108751,0.00108751,0.00108751
3,218.85,1.75535,1.59266,1.67134,0.39652,0.40482,0.33454,0.11631,2.3651,1.97993,2.18898,0.00159921,0.00159921,0.00159921
4,287.051,1.72543,1.48923,1.64506,0.38593,0.37901,0.2875,0.09766,2.32093,2.26156,2.19791,0.00156798,0.00156798,0.00156798
5,355.289,1.66927,1.3802,1.60062,0.43648,0.44754,0.37351,0.12909,2.40411,1.96676,2.24368,0.00153497,0.00153497,0.00153497
6,423.653,1.614,1.2873,1.56123,0.47636,0.44031,0.41662,0.16343,2.19658,2.07214,2.00808,0.00150197,0.00150197,0.00150197
7,491.994,1.58881,1.21714,1.54112,0.53708,0.41087,0.40569,0.1507,2.37435,2.21393,2.32711,0.00146896,0.00146896,0.00146896
8,560.004,1.55619,1.15616,1.5146,0.50286,0.53096,0.49739,0.20518,2.31285,1.72661,2.16769,0.00143595,0.00143595,0.00143595
9,627.93,1.52329,1.11209,1.48767,0.5443,0.55283,0.51172,0.19948,2.23515,1.57653,2.04149,0.00140295,0.00140295,0.00140295
10,696.285,1.49464,1.06031,1.47341,0.56325,0.45705,0.42823,0.1637,2.84095,1.76842,2.7699,0.00136994,0.00136994,0.00136994
11,764.475,1.46426,1.01808,1.44421,0.52879,0.45922,0.43784,0.18482,2.5351,1.77821,2.47755,0.00133693,0.00133693,0.00133693
12,832.538,1.44703,0.98785,1.43327,0.55839,0.47032,0.43803,0.18109,2.51418,1.85775,2.50056,0.00130393,0.00130393,0.00130393
13,900.468,1.43026,0.96147,1.43044,0.69192,0.59727,0.62085,0.29332,2.35959,1.35977,2.23967,0.00127092,0.00127092,0.00127092
14,968.853,1.4124,0.93784,1.41157,0.58617,0.56228,0.53843,0.24563,2.51974,1.48577,2.40446,0.00123791,0.00123791,0.00123791
15,1037.13,1.39584,0.90981,1.39573,0.64968,0.55396,0.59251,0.26449,2.32869,1.51642,2.29795,0.00120491,0.00120491,0.00120491
16,1105.27,1.37577,0.90305,1.38753,0.69408,0.61864,0.66361,0.29697,2.21319,1.33103,2.12951,0.0011719,0.0011719,0.0011719
17,1173.32,1.36175,0.88034,1.376,0.63764,0.58205,0.53901,0.22995,2.52122,1.3958,2.50245,0.00113889,0.00113889,0.00113889
18,1241.53,1.34259,0.85506,1.36641,0.69048,0.64193,0.65568,0.30283,2.2375,1.27198,2.16906,0.00110589,0.00110589,0.00110589
19,1309.63,1.32945,0.83383,1.35427,0.69958,0.64632,0.64044,0.29522,2.35636,1.14721,2.36866,0.00107288,0.00107288,0.00107288
20,1377.74,1.31769,0.82095,1.34661,0.75892,0.65894,0.66333,0.29584,2.32558,1.13046,2.27386,0.00103987,0.00103987,0.00103987
21,1445.56,1.30213,0.79583,1.33325,0.75295,0.64834,0.68941,0.33681,2.27046,1.10932,2.1627,0.00100687,0.00100687,0.00100687
22,1513.72,1.27633,0.78421,1.31936,0.67472,0.61371,0.6114,0.28425,2.57628,1.24508,2.60381,0.000973861,0.000973861,0.000973861
23,1581.89,1.26701,0.75819,1.30864,0.71318,0.66823,0.69221,0.33267,2.31757,1.08221,2.29621,0.000940855,0.000940855,0.000940855
24,1649.67,1.2618,0.75215,1.30461,0.71244,0.63616,0.66401,0.32377,2.36987,1.14126,2.37061,0.000907848,0.000907848,0.000907848
25,1717.74,1.24313,0.74733,1.30202,0.65871,0.59076,0.62778,0.29873,2.61238,1.20899,2.71078,0.000874842,0.000874842,0.000874842
26,1785.97,1.23666,0.72644,1.2935,0.73933,0.66072,0.70547,0.35664,2.23538,1.11202,2.23626,0.000841835,0.000841835,0.000841835
27,1853.96,1.22649,0.7163,1.28526,0.7325,0.68933,0.69697,0.33479,2.34264,1.07399,2.31277,0.000808828,0.000808828,0.000808828
28,1921.96,1.21967,0.71355,1.28439,0.72275,0.71351,0.74267,0.37166,2.19906,1.00317,2.18405,0.000775822,0.000775822,0.000775822
29,1989.95,1.19744,0.68562,1.26614,0.72358,0.66806,0.67569,0.32727,2.36195,1.12106,2.38695,0.000742815,0.000742815,0.000742815
30,2057.74,1.19145,0.68348,1.26327,0.73343,0.62815,0.68335,0.343,2.34659,1.0629,2.35002,0.000709809,0.000709809,0.000709809
31,2125.65,1.17643,0.67424,1.25009,0.7798,0.68681,0.74056,0.37226,2.24608,1.01501,2.20411,0.000676802,0.000676802,0.000676802
32,2193.62,1.16945,0.66656,1.24837,0.79482,0.71761,0.76675,0.37009,2.18517,0.99642,2.1032,0.000643795,0.000643795,0.000643795
33,2261.55,1.16806,0.65408,1.24625,0.76169,0.65351,0.70164,0.35146,2.31737,1.06655,2.31342,0.000610789,0.000610789,0.000610789
34,2329.42,1.14403,0.64963,1.23007,0.72665,0.65847,0.68808,0.34919,2.26028,1.04344,2.29008,0.000577782,0.000577782,0.000577782
35,2397.17,1.1445,0.64525,1.22849,0.77373,0.69424,0.73114,0.36308,2.24953,0.99956,2.27092,0.000544776,0.000544776,0.000544776
36,2465.31,1.12503,0.63449,1.22101,0.75876,0.70111,0.72599,0.37374,2.18621,0.96211,2.23933,0.000511769,0.000511769,0.000511769
37,2533.14,1.11537,0.62176,1.21326,0.80622,0.6881,0.74707,0.37862,2.19261,0.95134,2.26974,0.000478762,0.000478762,0.000478762
38,2601.08,1.09873,0.61272,1.20774,0.71303,0.71488,0.74001,0.37089,2.2474,0.9764,2.28065,0.000445756,0.000445756,0.000445756
39,2668.95,1.08503,0.59647,1.19963,0.74949,0.7201,0.74476,0.37065,2.22924,0.94946,2.24019,0.000412749,0.000412749,0.000412749
40,2736.92,1.08227,0.59737,1.19534,0.76122,0.67128,0.73778,0.38369,2.18908,0.99384,2.22767,0.000379743,0.000379743,0.000379743
41,2806.76,1.01871,0.43487,1.16895,0.759,0.69145,0.7482,0.38639,2.18843,0.98901,2.24127,0.000346736,0.000346736,0.000346736
42,2874.56,0.99229,0.42029,1.1495,0.71342,0.6941,0.73469,0.37678,2.2319,1.0019,2.3273,0.000313729,0.000313729,0.000313729
43,2942.14,0.96693,0.40622,1.13317,0.73766,0.70895,0.74579,0.38666,2.2525,0.98745,2.35872,0.000280723,0.000280723,0.000280723
44,3009.91,0.9476,0.40026,1.12203,0.76848,0.71541,0.769,0.39758,2.12605,0.93513,2.21732,0.000247716,0.000247716,0.000247716
45,3077.39,0.93525,0.39279,1.11118,0.74844,0.71137,0.758,0.40466,2.13765,0.95123,2.21367,0.00021471,0.00021471,0.00021471
46,3145.01,0.92188,0.38891,1.10537,0.7546,0.71407,0.75213,0.40021,2.17896,0.97351,2.32662,0.000181703,0.000181703,0.000181703
47,3212.5,0.90629,0.37634,1.09378,0.75055,0.73396,0.76339,0.40573,2.14474,0.9587,2.27374,0.000148696,0.000148696,0.000148696
48,3280.11,0.88969,0.37008,1.08266,0.766,0.7102,0.76225,0.40391,2.1426,0.96126,2.29307,0.00011569,0.00011569,0.00011569
49,3347.57,0.87618,0.36637,1.07668,0.76816,0.71459,0.76321,0.40745,2.14295,0.96419,2.28194,8.26832e-05,8.26832e-05,8.26832e-05
50,3415.06,0.87087,0.36336,1.07331,0.75067,0.73,0.76256,0.41042,2.14475,0.96451,2.29224,4.96766e-05,4.96766e-05,4.96766e-05
